spot name,domain,count number for domain
eggslut,eggslut.com,8
cactus jack's,cactusjacks.com.au,3
eat a pitta,eatapitta.co.uk,4
all bar one,allbarone.co.uk,2
my old dutch,myolddutch.com,2
sticks'n' sushi soho,sticksnsushi.com,2
homeslice,homeslicepizza.co.uk,6
shangri-la,shangri-la.com,4
mikkeller,mikkeller.dk,2
san carlo,sancarlo.co.uk,2
tashas,tashascafe.com,3
nobu,noburestaurants.com,7
bagel factory,bagelfactory.co.uk,2
tantrum doughnuts,tantrumdoughnuts.com,2
harris + hoole,harrisandhoole.co.uk,3
manekineko,manekineko.com.br,5
soft serve society,softservesociety.com,2
copenhagen coffee lab,copenhagencoffeelab.com,3
tortilla,tortilla.co.uk,2
cake box,eggfreecake.co.uk,3
prezzo,prezzorestaurants.co.uk,3
black tap,blacktapme.com,2
cafe murano,cafemurano.co.uk,3
bestia,bestiala.com,2
mcdonalds,mcdonalds.com,2
le pain quotidien,lepainquotidien.com,6
dishoom,dishoom.com,8
german doner kebab,germandonerkebab.com,3
hopper & bean,hopperandbean.com,2
coppa club,coppaclub.co.uk,4
pizzaexpress,pizzaexpress.com,3
george's great british kitchen,georgesgreatbritishkitchen.co.uk,2
hotel du vin,hotelduvin.com,2
fatto a mano,fattoamanopizza.com,2
rudy's,rudyspizza.co.uk,2
all star lanes,allstarlanes.co.uk,5
poppies fish & chips,poppiesfishandchips.co.uk,2
noble rot,noblerot.co.uk,2
zuma,zumarestaurant.com,14
suvlaki,suvlaki.co.uk,2
l'antica pizzeria,anticapizzeria.co.uk,2
the athenian,theathenian.co.uk,3
santa maria,santamariapizzeria.com,3
la campagna,la-campagna.co.uk,3
voodoo ray's,voodoorays.com,4
friends avenue cafe,friendsavenue.ae,2
estiatorio milos,estiatoriomilos.com,2
joe's pizza,joespizzanyc.com,5
lobos,lobostapas.co.uk,2
carousel,carousel-london.com,2
sumosan twiga,sumosantwiga.com,2
greggs,greggs.co.uk,4
tamarind,tamarindrestaurant.com,2
the mac factory,themacfactory.co.uk,2
starbucks,starbucks.com,2
pubbelly sushi,pubbellyglobal.com,6
nando's,nandos.ie,3
boom bap burger,boombapburger.com,2
meat liquor,meatliquor.com,9
flat iron,flatironsteak.co.uk,9
farmer j,farmerj.com,2
wild & the moon,wildandthemoon.ae,3
xi'an famous foods,xianfoods.com,4
rosa's thai cafe,rosasthaicafe.com,12
per tutti,pertuttirestaurant.co.uk,2
l'antica pizzeria da michele,anticapizzeriadamichele.co.uk,2
island poké,islandpoke.com,2
mediterranevm,mediterranevm.co.uk,2
bone daddies,bonedaddies.com,3
kushi,kushirestaurant.co.uk,2
wagamama,wagamama.com,7
mildreds,mildreds.co.uk,4
origin coffee roasters,origincoffee.co.uk,2
amazonico,amazonicorestaurant.com,2
shoryu ramen,shoryuramen.com,2
hawksmoor,thehawksmoor.com,7
habaneros,habaneros.co.uk,2
ippudo,ippudony.com,3
radio alice pizzeria,radioalicepizzeria.co.uk,3
junkyard golf club,junkyardgolfclub.co.uk,3
mercato metropolitano,mercatometropolitano.com,2
everyman,everymancinema.com,2
costa coffee,costa.co.uk,3
banter nyc,banternyc.com,2
taqueria,taqueria.co.uk,2
buenos aires,barestaurant.com,2
draughts,draughtslondon.com,2
chick 'n' sours,chicknsours.co.uk,3
taro,tarorestaurants.uk,2
